ShipClass,EngineType,CapacityFrom,CapacityTo,Berth,Anchorage    ,Maneuvering,Sea
Bulk carrier,Aux,0,9999,280,190,310,190
Bulk carrier,Aux,10000,34999,280,190,310,190
Bulk carrier,Aux,35000,59999,370,260,420,260
Bulk carrier,Aux,60000,99999,600,420,680,420
Bulk carrier,Aux,100000,199999,600,420,680,420
Bulk carrier,Aux,200000,10000000,600,420,680,420
Chemical tanker,Aux,0,4999,160,80,110,80
Chemical tanker,Aux,5000,9999,490,230,330,230
Chemical tanker,Aux,10000,19999,490,230,330,230
Chemical tanker,Aux,20000,10000000,1170,550,780,550
Container,Aux,0,11999,340,300,550,300
Container,Aux,12000,29999,600,820,1320,820
Container,Aux,30000,44999,700,1230,1800,1230
Container,Aux,45000,64999,940,1390,2470,1390
Container,Aux,65000,99999,970,1420,2600,1420
Container,Aux,100000,134999,1000,1630,2780,1630
Container,Aux,135000,149999,1200,1960,3330,1960
Container,Aux,150000,10000000,1320,2160,3670,2160
General cargo,Aux,0,4999,120,60,90,60
General cargo,Aux,5000,9999,330,170,250,170
General cargo,Aux,10000,10000000,970,490,730,490
Liquefied gas tanker,Aux,0,49999,240,240,360,240
Liquefied gas tanker,Aux,50000,199999,1710,1710,2565,1710
Liquefied gas tanker,Aux,200000,10000000,1710,1710,2565,1710
Oil tanker,Aux,0,4999,250,250,375,250
Oil tanker,Aux,5000,9999,375,375,563,375
Oil tanker,Aux,10000,19999,625,625,938,625
Oil tanker,Aux,20000,59999,750,750,1125,750
Oil tanker,Aux,60000,79999,750,750,1125,750
Oil tanker,Aux,80000,119999,1000,1000,1500,1000
Oil tanker,Aux,120000,199999,1250,1250,1875,1250
Oil tanker,Aux,200000,10000000,1500,1500,2250,1500
Other liquids tankers,Aux,0,10000000,500,500,750,500
Ferry-pax only,Aux,0,1999,186,186,186,186
Ferry-pax only,Aux,2000,10000000,524,524,524,524
Cruise,Aux,0,1999,450,450,580,450
Cruise,Aux,2000,9999,450,450,580,450
Cruise,Aux,10000,59999,3500,3500,5460,3500
Cruise,Aux,60000,99999,11480,11480,14900,11480
Cruise,Aux,100000,10000000,11480,11480,14900,11480
Ferry-RoPax,Aux,0,1999,105,105,105,105
Refrigerated bulk,Aux,2000,10000000,710,710,710,710
Refrigerated bulk,Aux,0,1999,1080,1170,1150,1170
Ro-Ro,Aux,0,4999,800,600,1700,600
Ro-Ro,Aux,5000,10000000,1200,950,2720,950
Vehicle,Aux,0,10000000,800,500,1125,500
Vehicle,Aux,4000,10000000,800,500,1125,500
Yacht,Aux,0,10000000,130,130,130,130
Service - tug,Aux,0,10000000,50,50,50,50
Miscellaneous - fishing,Aux,0,10000000,200,200,200,200
Offshore,Aux,0,10000000,320,320,320,320
Service - other,Aux,0,10000000,220,220,220,220
Miscellaneous - other,Aux,0,10000000,190,190,190,190
